username,feedback_date,campaign_id,comment
user_fb91,2025-03-19,CAMP605,Great campaign!
user12,2025-10-10,CAMP789,Excellent marketing strategy.
user_fb41,2025-01-21,CAMP752,Excellent marketing strategy.
user_fb71,2025-10-06,CAMP151,Creative and fun approach!
user_fb73,2025-06-10,CAMP142,Too many details - hard to follow.
user_fb78,2025-03-26,CAMP949,Not very engaging.
user11,2025-05-29,CAMP799,Not very engaging.
user_fb64,2025-03-15,CAMP151,Loved the product presentation.
user_fb79,2025-01-07,CAMP891,Creative and fun approach!
user_fb36,2025-01-20,CAMP693,Creative and fun approach!
user_fb60,2025-08-28,CAMP216,Clear and concise message.
user_fb89,2025-02-09,CAMP322,Too many details - hard to follow.
user_fb73,2025-04-07,CAMP306,Great campaign!
user_fb80,2025-05-16,CAMP767,Loved the product presentation.
user10,2025-02-27,CAMP355,Not very engaging.
user_fb19,2025-04-13,CAMP590,Loved the product presentation.
user_fb56,2025-03-29,CAMP672,Excellent marketing strategy.
user_fb79,2025-08-22,CAMP184,Not very engaging.
user_fb75,2025-10-13,CAMP801,Creative and fun approach!
user_fb35,2025-01-31,CAMP730,Excellent marketing strategy.
user_fb71,2025-05-29,CAMP114,Creative and fun approach!
user_fb21,2025-06-24,CAMP464,Loved the product presentation.
user_fb41,2025-08-28,CAMP186,Great campaign!
user_fb62,2025-03-22,CAMP944,Could be better organized.
user12,2025-01-23,CAMP703,Clear and concise message.
user_fb77,2025-08-07,CAMP643,Great campaign!
user_fb49,2025-02-18,CAMP693,Too many details - hard to follow.
user_fb88,2025-09-21,CAMP931,Excellent marketing strategy.
user_fb98,2025-04-28,CAMP351,Clear and concise message.
user_fb20,2025-01-07,CAMP949,Loved the product presentation.
user_fb20,2025-08-06,CAMP685,Too many details - hard to follow.
user_fb30,2025-01-05,CAMP638,Loved the product presentation.
user_fb19,2025-07-12,CAMP541,Loved the product presentation.
user_fb93,2025-02-24,CAMP502,Not very engaging.
user_fb27,2025-08-11,CAMP278,Not very engaging.
user_fb39,2025-10-15,CAMP222,Excellent marketing strategy.
user10,2025-06-25,CAMP828,Great campaign!
user_fb66,2025-04-13,CAMP528,Excellent marketing strategy.
user_fb21,2025-02-28,CAMP520,Creative and fun approach!
user_fb38,2025-05-27,CAMP476,Creative and fun approach!
user_fb80,2025-09-28,CAMP428,Excellent marketing strategy.
user_fb43,2025-06-03,CAMP935,Creative and fun approach!
user_fb21,2025-06-08,CAMP726,Not very engaging.
